date,steps,distance,runDistance,calories
2021-06-09,1875,1229,63,42
2021-06-10,5370,3610,149,172
2021-06-11,8793,5917,318,292
2021-06-12,7875,5232,290,266
2021-06-13,6486,4271,376,155
2021-06-14,7181,4646,232,144
2021-06-15,7091,4662,283,164
2021-06-16,7543,5056,275,165
2021-06-17,2736,1776,157,63
2021-06-18,7900,5373,217,174
2021-06-19,6173,3998,186,117
2021-06-20,5566,3660,251,114
2021-06-21,5599,3628,240,105
2021-06-22,4580,2986,325,93
2021-06-23,9372,6253,513,195
2021-06-24,16726,11142,634,376
2021-06-25,10438,7050,464,236
2021-06-26,14875,10368,206,360
2021-06-27,9478,6401,604,211
2021-06-28,3545,2299,266,75
2021-06-29,7730,5128,367,170
2021-06-30,5200,3362,191,112
2021-07-01,4967,3237,371,115
2021-07-02,5323,3487,380,115
2021-07-03,7894,5274,278,183
2021-07-04,2609,1690,157,56
2021-07-05,6373,4120,230,129
2021-07-06,5749,3761,304,118
2021-07-07,5504,3683,396,122
2021-07-08,7764,5124,509,168
2021-07-09,6673,4441,138,148
2021-07-10,4473,2916,230,101
2021-07-11,6887,4554,263,147
2021-07-12,8448,5507,277,176
2021-07-13,4007,2644,166,89
2021-07-14,11938,7956,593,268
2021-07-15,7732,5128,230,183
2021-07-16,6744,4406,234,146
2021-07-17,4886,3253,118,104
2021-07-18,21646,14412,560,468
2021-07-19,3663,2368,176,83
2021-07-20,9056,6076,358,202
2021-07-21,7323,4942,207,177
2021-07-22,4289,2786,127,89
2021-07-23,5796,3776,308,130
2021-07-24,10616,7189,242,240
2021-07-25,4108,2735,203,95
2021-07-26,8254,5482,277,180
2021-07-27,15972,10712,302,353
2021-07-28,10711,7144,252,231
2021-07-29,10531,6874,136,214
2021-07-30,8171,5343,221,169
2021-07-31,6261,4056,186,127
2021-08-01,4989,3269,248,108
2021-08-02,5869,3841,174,135
2021-08-03,3507,2280,140,77
2021-08-04,3451,2251,149,78
2021-08-05,4330,2852,163,97
2021-08-06,2888,1888,199,62
2021-08-07,1418,917,106,31
2021-08-08,6210,4025,191,131
2021-08-09,6918,4504,256,141
2021-08-10,6717,4400,204,142
2021-08-11,7406,4982,626,172
2021-08-12,9960,6522,306,208
2021-08-13,2164,1399,118,44
2021-08-14,4215,2725,189,87
2021-08-15,5296,3472,384,119
2021-08-16,2719,1763,277,64
2021-08-17,6231,4116,248,136
2021-08-18,7813,5182,320,183
2021-08-19,14292,9533,472,320
2021-08-20,8777,5727,256,184
2021-08-21,5088,3310,210,109
2021-08-22,7294,4744,329,157
2021-08-23,0,0,0,0
2021-08-24,0,0,0,0
2021-08-25,4438,3026,310,100
2021-08-26,4180,2704,177,85
2021-08-27,3793,2505,213,82
2021-08-28,6315,4259,367,147
2021-08-29,7134,4738,504,149
2021-08-30,16668,10905,368,357
2021-08-31,15378,10324,524,335
2021-09-01,18929,12537,420,420
2021-09-02,4697,3043,212,97
2021-09-03,8171,5301,220,162
2021-09-04,16636,11315,244,382
2021-09-05,13198,8781,609,290
2021-09-06,13388,8957,476,291
2021-09-07,6749,4389,193,140
2021-09-08,7971,5307,199,183
2021-09-09,7165,4681,325,154
2021-09-10,13622,8993,435,291
2021-09-11,7540,5032,555,168
2021-09-12,7383,4823,157,162
2021-09-13,10441,7081,762,240
2021-09-14,7724,5078,319,159
2021-09-15,15268,10088,545,329
2021-09-16,0,0,0,0
2021-09-17,1138,750,66,29
2021-09-18,9923,6721,577,228
2021-09-19,11510,7675,627,244
2021-09-20,9388,6474,224,217
2021-09-21,2320,1557,28,52
2021-09-22,5673,3702,279,123
2021-09-23,5031,3275,297,112
2021-09-24,5885,4950,1574,269
2021-09-25,16051,10959,913,361
2021-09-26,18325,12159,497,386
2021-09-27,8116,5387,324,173
2021-09-28,5216,3451,266,111
2021-09-29,13723,9267,491,304
2021-09-30,9046,5985,437,200
2021-10-01,961,621,66,22
2021-10-09,670,434,56,16
2021-10-10,6081,3956,191,133
2021-10-11,10946,7184,389,239
2021-10-12,6368,4131,221,135
2021-10-13,2470,1623,144,58
2021-10-14,9000,5953,337,189
2021-10-15,8709,5724,335,187
2021-10-16,11859,7876,296,263
2021-10-17,2459,1596,89,52
2021-10-18,14926,9880,624,325
2021-10-19,8126,5485,236,188
2021-10-20,14136,9743,730,324
2021-10-21,15135,10315,557,327
2021-10-22,7772,5122,241,167
2021-10-23,9662,6446,469,211
2021-10-24,11708,7617,416,246
2021-10-25,5925,3846,289,126
2021-10-26,15177,10407,1073,349
2021-10-27,4432,2874,185,96
2021-10-28,10756,7345,497,248
2021-10-29,4463,2898,178,101
2021-10-30,6058,3932,280,133
2021-10-31,12396,8225,441,262
2021-11-01,13700,9273,438,306
2021-11-02,9029,5971,518,200
2021-11-03,4486,2939,114,97
2021-11-04,10412,6919,701,226
2021-11-05,11056,7332,652,238
