time,heartRate
2021-12-07 08:10:20+0000,89
2021-11-29 15:44:48+0000,88
2021-11-26 04:33:19+0000,76
2021-11-10 07:40:37+0000,109
2021-10-28 11:51:47+0000,73
2021-10-28 11:43:03+0000,94
2021-10-28 11:42:27+0000,94
2021-09-01 11:09:22+0000,114
2021-09-01 11:08:15+0000,91
2021-09-01 11:06:53+0000,40
2021-08-22 05:40:36+0000,98
2021-08-17 18:14:34+0000,77
2021-08-11 10:38:45+0000,88
2021-07-24 06:39:50+0000,79
2021-07-17 07:06:51+0000,104
2021-07-16 10:00:45+0000,99
2021-07-13 11:45:02+0000,80
2021-07-11 10:30:15+0000,104
2021-07-10 06:16:56+0000,80
2021-07-08 05:21:06+0000,90
2021-06-25 18:13:03+0000,84
2021-06-21 19:03:11+0000,106
2021-06-19 20:33:41+0000,76
2021-06-17 15:12:49+0000,91
2021-06-16 19:19:03+0000,79
2021-06-14 17:00:16+0000,106
2021-06-14 16:59:17+0000,106
2021-06-14 11:49:20+0000,78
2021-06-14 11:48:37+0000,78
2021-06-13 15:31:11+0000,100
2021-06-13 15:16:33+0000,106
2021-06-13 15:15:36+0000,108
2021-06-13 15:10:40+0000,92
2021-06-11 05:20:19+0000,100
2021-06-10 05:35:56+0000,91
2021-06-09 13:29:01+0000,88
2021-06-09 13:28:18+0000,86
