date,deepSleepTime,shallowSleepTime,wakeTime,start,stop
2021-06-09,0,0,0,2021-06-07 18:30:00+0000,2021-06-07 18:30:00+0000
2021-06-10,72,407,15,2021-06-09 18:00:00+0000,2021-06-10 03:45:00+0000
2021-06-11,67,190,8,2021-06-10 22:33:00+0000,2021-06-11 03:50:00+0000
2021-06-12,51,199,32,2021-06-11 20:19:00+0000,2021-06-12 02:51:00+0000
2021-06-13,105,282,9,2021-06-12 21:37:00+0000,2021-06-13 05:11:00+0000
2021-06-14,107,291,5,2021-06-13 19:13:00+0000,2021-06-14 03:40:00+0000
2021-06-15,88,281,1,2021-06-14 21:45:00+0000,2021-06-15 04:48:00+0000
2021-06-16,122,283,29,2021-06-15 18:45:00+0000,2021-06-16 04:07:00+0000
2021-06-17,79,332,3,2021-06-16 20:00:00+0000,2021-06-17 03:51:00+0000
2021-06-18,106,355,5,2021-06-17 18:51:00+0000,2021-06-18 03:48:00+0000
2021-06-19,115,314,31,2021-06-18 19:58:00+0000,2021-06-19 05:23:00+0000
2021-06-20,49,191,90,2021-06-19 19:58:00+0000,2021-06-20 03:30:00+0000
2021-06-21,97,267,14,2021-06-20 18:35:00+0000,2021-06-21 02:30:00+0000
2021-06-22,66,270,22,2021-06-21 19:21:00+0000,2021-06-22 02:38:00+0000
2021-06-23,103,278,39,2021-06-22 18:53:00+0000,2021-06-23 03:16:00+0000
2021-06-24,101,290,8,2021-06-23 19:20:00+0000,2021-06-24 03:07:00+0000
2021-06-25,109,303,16,2021-06-24 18:38:00+0000,2021-06-25 03:09:00+0000
2021-06-26,63,264,0,2021-06-25 21:20:00+0000,2021-06-26 03:17:00+0000
2021-06-27,75,163,34,2021-06-26 19:48:00+0000,2021-06-27 01:32:00+0000
2021-06-28,100,312,8,2021-06-27 20:10:00+0000,2021-06-28 04:33:00+0000
2021-06-29,108,319,31,2021-06-28 20:07:00+0000,2021-06-29 04:44:00+0000
2021-06-30,108,279,29,2021-06-29 19:01:00+0000,2021-06-30 03:45:00+0000
2021-07-01,109,290,13,2021-06-30 19:16:00+0000,2021-07-01 04:29:00+0000
2021-07-02,112,260,5,2021-07-01 20:43:00+0000,2021-07-02 04:36:00+0000
2021-07-03,114,323,0,2021-07-02 19:52:00+0000,2021-07-03 04:40:00+0000
2021-07-04,82,322,0,2021-07-03 20:01:00+0000,2021-07-04 03:56:00+0000
2021-07-05,92,307,9,2021-07-04 19:47:00+0000,2021-07-05 03:52:00+0000
2021-07-06,99,320,7,2021-07-05 21:41:00+0000,2021-07-06 06:03:00+0000
2021-07-07,54,293,7,2021-07-06 19:22:00+0000,2021-07-07 03:37:00+0000
2021-07-08,88,268,30,2021-07-07 18:35:00+0000,2021-07-08 03:23:00+0000
2021-07-09,112,253,32,2021-07-08 19:41:00+0000,2021-07-09 04:01:00+0000
2021-07-10,101,247,2,2021-07-09 20:17:00+0000,2021-07-10 04:16:00+0000
2021-07-11,143,333,18,2021-07-10 19:10:00+0000,2021-07-11 05:17:00+0000
2021-07-12,72,283,0,2021-07-11 19:28:00+0000,2021-07-12 03:22:00+0000
2021-07-13,90,327,40,2021-07-12 19:11:00+0000,2021-07-13 04:36:00+0000
2021-07-14,81,249,22,2021-07-13 18:49:00+0000,2021-07-14 02:22:00+0000
2021-07-15,93,350,3,2021-07-14 20:10:00+0000,2021-07-15 04:42:00+0000
2021-07-16,98,307,0,2021-07-15 19:47:00+0000,2021-07-16 04:05:00+0000
2021-07-17,108,309,22,2021-07-16 19:49:00+0000,2021-07-17 04:41:00+0000
2021-07-18,0,0,0,2021-07-16 18:30:00+0000,2021-07-16 18:30:00+0000
2021-07-19,92,317,14,2021-07-18 21:09:00+0000,2021-07-19 05:46:00+0000
2021-07-20,124,317,14,2021-07-19 18:56:00+0000,2021-07-20 04:47:00+0000
2021-07-21,79,214,0,2021-07-20 21:03:00+0000,2021-07-21 03:00:00+0000
